Producto;categoria;marca
"iPhone 15 128GB Negro";Smartphones;Apple
"iPhone 15 Pro 256GB Titanio";Smartphones;Apple
"MacBook Air M2 8GB 256GB";Notebooks;Apple
"MacBook Pro M3 16GB 512GB";Notebooks;Apple
"iPad Air 11" M2 64GB WiFi";Tablets;Apple
"Apple Watch Series 9 45mm";Smartwatches;Apple
"AirPods Pro 2da Generación";Auriculares;Apple
"Samsung Galaxy S24 256GB";Smartphones;Samsung
"Samsung Galaxy Tab S9 128GB";Tablets;Samsung
"Samsung Smart TV 55" QLED 4K";Televisores;Samsung
"Sony WH-1000XM5";Auriculares;Sony
"Sony WF-1000XM5";Auriculares;Sony
"Sony Bravia XR 65" OLED 4K";Televisores;Sony
"LG OLED 55" C3 4K";Televisores;LG
"LG Monitor 27" UltraFine 4K";Monitores;LG
"Philips Hue Starter Kit";"Cargadores y Cables";Philips
"JBL Charge 5";Parlantes;JBL
"JBL Flip 6";Parlantes;JBL
"JBL Tune 770NC";Auriculares;JBL
"Bose QuietComfort 45";Auriculares;Bose
"Bose SoundLink Flex";Parlantes;Bose
"Xiaomi Redmi Note 13 128GB";Smartphones;Xiaomi
"Xiaomi Mi Band 8";Wearables;Xiaomi
"Motorola Edge 40 256GB";Smartphones;Motorola
"Motorola Moto G84 256GB";Smartphones;Motorola
"HP Victus 15 Ryzen 5 16GB 512GB";Notebooks;HP
"HP LaserJet Pro M404dn";Impresoras;HP
"Dell XPS 15 i7 32GB 1TB";Notebooks;Dell
"Dell Monitor S2722QC 27" 4K";Monitores;Dell
"Lenovo IdeaPad 5 i5 8GB 512GB";Notebooks;Lenovo
"Lenovo Tab P12 256GB";Tablets;Lenovo
"Asus ROG Zephyrus G14 RTX 4060";Notebooks;Asus
"Asus ProArt PA279CRV 27" 4K";Monitores;Asus
"Logitech MX Master 3S";"Teclados y Mouse";Logitech
"Logitech MX Keys S";"Teclados y Mouse";Logitech
"Logitech G Pro X Superlight 2";"Teclados y Mouse";Logitech
"Anker PowerCore 26800mAh";"Cargadores y Cables";Anker
"Anker Cable USB-C a Lightning MFi 1m";"Cargadores y Cables";Anker
"Anker 737 Cargador 120W GaN";"Cargadores y Cables";Anker
"Sennheiser HD 560S";Auriculares;Sennheiser
"Sennheiser Momentum 4 Wireless";Auriculares;Sennheiser
"Pioneer DJ DDJ-400";"Reproductores de Audio";Pioneer
"Pioneer Stereo A-10";"Home Theater";Pioneer
"Harman Kardon Onyx Studio 8";Parlantes;"Harman Kardon"
"Marshall Emberton III";Parlantes;Marshall
"Marshall Acton III";Parlantes;Marshall
"Epson EcoTank L3250";Impresoras;Epson
"Epson EF-21 Mini Proyector";Proyectores;Epson
"Apple Magic Keyboard Touch ID ES";"Accesorios Apple";Apple
"Apple MagSafe Charger 2m";"Accesorios Apple";Apple
